"No.","Time","Source","Destination","Protocol","Length","Info"
"403","29.484870464","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"405","29.484993036","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"407","29.485116167","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"409","29.485239717","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"411","29.485362708","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"413","29.485485140","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"415","29.485608341","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"417","29.485731681","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"419","29.485854323","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"421","29.485977034","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"422","29.486102260","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"424","29.486223855","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"425","29.486346566","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"427","29.486470046","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"428","29.486593037","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"430","29.486715330","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"431","29.486839439","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"433","29.486961871","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"434","29.487084932","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"436","29.487207364","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"437","29.487331263","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"439","29.487453905","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"440","29.487577245","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"442","29.487700376","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"443","29.487823228","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
